Time,ATR
2024-05-24 17:00:00,193.8342
2024-05-27 13:00:00,188.7389
2024-05-28 17:00:00,186.7575
2024-05-29 17:00:00,188.3999
2024-05-30 17:00:00,193.2642
2024-05-31 17:00:00,209.9596
2024-06-03 17:00:00,217.8017
2024-06-04 17:00:00,219.5302
2024-06-05 17:00:00,232.0102
2024-06-06 17:00:00,223.0987
2024-06-07 17:00:00,222.5203
2024-06-10 17:00:00,217.7331
2024-06-11 17:00:00,220.9664
2024-06-12 17:00:00,232.2367
2024-06-13 17:00:00,229.5412
2024-06-14 17:00:00,227.2883
2024-06-17 17:00:00,237.2855
2024-06-18 17:00:00,230.5866
2024-06-19 13:00:00,218.134
2024-06-20 17:00:00,232.0351
2024-06-21 17:00:00,227.729
2024-06-24 17:00:00,233.052
2024-06-25 17:00:00,234.6375
2024-06-26 17:00:00,229.9848
2024-06-27 17:00:00,230.8788
2024-06-28 17:00:00,240.6017
2024-07-01 17:00:00,242.148
2024-07-02 17:00:00,249.7982
2024-07-03 13:15:00,248.4019
2024-07-04 13:00:00,234.2839
2024-07-05 17:00:00,237.4422
2024-07-08 17:00:00,228.2499
2024-07-09 17:00:00,223.0892
2024-07-10 17:00:00,224.1721
2024-07-11 17:00:00,251.4812
2024-07-12 17:00:00,262.5183
2024-07-15 17:00:00,264.5348
2024-07-16 17:00:00,261.3538
2024-07-17 17:00:00,287.8464
2024-07-18 17:00:00,296.1252
2024-07-19 17:00:00,298.2413
2024-07-22 17:00:00,300.6347
2024-07-23 17:00:00,294.6251
2024-07-24 17:00:00,327.5983
2024-07-25 17:00:00,340.4306
2024-07-26 17:00:00,337.9355
2024-07-29 17:00:00,332.6544
2024-07-30 17:00:00,351.3755
2024-07-31 17:00:00,382.438
2024-08-01 17:00:00,416.7639
2024-08-02 17:00:00,432.5307
2024-08-05 17:00:00,487.725
2024-08-06 17:00:00,489.8339
2024-08-07 17:00:00,506.435
2024-08-08 17:00:00,531.1004
2024-08-09 17:00:00,513.9861
2024-08-12 17:00:00,495.1478
2024-08-13 17:00:00,495.0658
2024-08-14 17:00:00,479.5611
2024-08-15 17:00:00,481.2175
2024-08-16 17:00:00,463.6662
2024-08-19 17:00:00,455.2972
2024-08-20 17:00:00,436.2045
2024-08-21 17:00:00,420.0649
2024-08-22 17:00:00,424.5781
2024-08-23 17:00:00,417.5369
2024-08-26 17:00:00,412.0521
2024-08-27 17:00:00,400.6734
2024-08-28 17:00:00,405.1788
2024-08-29 17:00:00,415.7553
2024-08-30 17:00:00,404.7907
2024-09-02 13:00:00,387.2521
2024-09-03 17:00:00,414.7341
2024-09-04 17:00:00,405.753
2024-09-05 17:00:00,399.86
2024-09-06 17:00:00,416.4771
2024-09-09 17:00:00,411.6216
2024-09-10 17:00:00,403.3808
2024-09-11 17:00:00,427.8893
2024-09-12 17:00:00,418.6472
2024-09-13 17:00:00,401.5295
2024-09-16 17:00:00,391.0631
2024-09-17 17:00:00,382.8265
2024-09-18 17:00:00,379.9103
2024-09-19 17:00:00,397.1489
2024-09-20 17:00:00,385.0668
2024-09-23 17:00:00,372.4727
2024-09-24 17:00:00,364.564
2024-09-25 17:00:00,353.2916
2024-09-26 17:00:00,353.0564
2024-09-27 17:00:00,343.7488
2024-09-30 17:00:00,335.6954
2024-10-01 17:00:00,348.4135
2024-10-02 17:00:00,341.8661
2024-10-03 17:00:00,336.1436
2024-10-04 17:00:00,335.1512
2024-10-07 17:00:00,334.0154
2024-10-08 17:00:00,340.6571
2024-10-09 17:00:00,336.8066
2024-10-10 17:00:00,327.5169
2024-10-11 17:00:00,316.9442
2024-10-14 17:00:00,315.5018
2024-10-15 17:00:00,321.9124
2024-10-16 17:00:00,312.6508
2024-10-17 17:00:00,313.0329
2024-10-18 17:00:00,305.6019
2024-10-21 17:00:00,298.8268
2024-10-22 17:00:00,294.7677
2024-10-23 17:00:00,306.82
2024-10-24 17:00:00,299.7615
2024-10-25 17:00:00,302.8678
2024-10-28 17:00:00,294.8415
2024-10-29 17:00:00,297.21
2024-10-30 17:00:00,298.5521
2024-10-31 17:00:00,314.8163
2024-11-01 17:00:00,311.6865
2024-11-04 17:00:00,306.2446
2024-11-05 17:00:00,308.9236
2024-11-06 17:00:00,330.554
2024-11-07 17:00:00,334.9073
2024-11-08 17:00:00,321.2175
2024-11-11 17:00:00,315.5948
2024-11-12 17:00:00,307.1238
2024-11-13 17:00:00,300.3292
2024-11-14 17:00:00,296.0021
2024-11-15 17:00:00,318.1806
2024-11-18 17:00:00,313.1855
2024-11-19 17:00:00,320.1008
2024-11-20 17:00:00,323.3972
2024-11-21 17:00:00,328.2617
2024-11-22 17:00:00,318.1537
2024-11-25 17:00:00,316.9106
2024-11-26 17:00:00,313.542
2024-11-27 17:00:00,315.7176
2024-11-28 13:00:00,300.4699
2024-11-29 13:15:00,294.1506
2024-12-02 17:00:00,295.9791
2024-12-03 17:00:00,288.7485
2024-12-04 17:00:00,287.195
2024-12-05 17:00:00,275.9489
2024-12-06 17:00:00,273.7026
2024-12-09 17:00:00,273.456
2024-12-10 17:00:00,272.0663
2024-12-11 17:00:00,282.258
2024-12-12 17:00:00,275.6145
2024-12-13 17:00:00,274.2671
2024-12-16 17:00:00,283.2123
2024-12-17 17:00:00,275.9471
2024-12-18 17:00:00,333.1473
2024-12-19 17:00:00,334.4939
2024-12-20 17:00:00,368.1551
2024-12-23 17:00:00,363.2869
2024-12-24 13:15:00,361.6771
2024-12-26 17:00:00,353.0573
2024-12-27 17:00:00,364.2139
2024-12-30 17:00:00,373.1808
2024-12-31 17:00:00,371.0072
2025-01-02 17:00:00,380.7031
2025-01-03 17:00:00,383.1707
2025-01-06 17:00:00,385.6942
2025-01-07 17:00:00,395.7518
2025-01-08 17:00:00,387.6267
2025-01-09 09:30:00,370.1355
2025-01-10 17:00:00,379.2508
2025-01-13 17:00:00,376.6614
2025-01-14 17:00:00,376.2035
2025-01-15 17:00:00,388.1711
2025-01-16 17:00:00,388.6589
2025-01-17 17:00:00,394.7011
2025-01-20 13:00:00,384.526
2025-01-21 17:00:00,386.042
2025-01-22 17:00:00,385.8962
2025-01-23 17:00:00,371.725
2025-01-24 17:00:00,361.9054
2025-01-27 17:00:00,418.0193
2025-01-28 17:00:00,421.4822
2025-01-29 17:00:00,414.9477
2025-01-30 17:00:00,408.8265
2025-01-31 17:00:00,410.4996
2025-02-03 17:00:00,427.3389
2025-02-04 17:00:00,429.0647
2025-02-05 17:00:00,424.5065
2025-02-06 17:00:00,406.7917
2025-02-07 17:00:00,407.3959
2025-02-10 17:00:00,412.2962
2025-02-11 17:00:00,397.275
2025-02-12 17:00:00,394.0233
2025-02-13 17:00:00,392.3787
2025-02-14 17:00:00,377.3874
2025-02-17 13:00:00,356.8062
2025-02-18 17:00:00,346.82
2025-02-19 17:00:00,335.0293
2025-02-20 17:00:00,332.4915
2025-02-21 17:00:00,351.0814
2025-02-24 17:00:00,354.9684
2025-02-25 17:00:00,362.7385
2025-02-26 17:00:00,362.1322
2025-02-27 17:00:00,393.6406
2025-02-28 17:00:00,400.077
2025-03-03 17:00:00,428.9465
2025-03-04 17:00:00,445.2539
2025-03-05 17:00:00,449.8786
2025-03-06 17:00:00,465.0301
2025-03-07 17:00:00,469.0101
2025-03-10 17:00:00,503.9023
2025-03-11 17:00:00,507.0164
2025-03-12 17:00:00,499.4974
2025-03-13 17:00:00,501.2476
2025-03-14 17:00:00,500.6942
2025-03-17 17:00:00,494.2696
2025-03-18 17:00:00,491.9825
2025-03-19 17:00:00,491.3409
2025-03-20 17:00:00,482.6558
2025-03-21 17:00:00,474.984
2025-03-24 17:00:00,473.0922
2025-03-25 17:00:00,455.8535
2025-03-26 17:00:00,458.4175
2025-03-27 17:00:00,444.4056
2025-03-28 17:00:00,459.3945
2025-03-31 17:00:00,463.2234
2025-04-01 17:00:00,457.4753
2025-04-02 17:00:00,493.9057
2025-04-03 17:00:00,540.341
2025-04-04 17:00:00,596.4238
2025-04-07 17:00:00,689.6435
2025-04-08 17:00:00,739.2225
2025-04-09 17:00:00,875.8316
2025-04-10 17:00:00,917.8794
2025-04-11 17:00:00,909.9237
2025-04-14 17:00:00,881.9649
2025-04-15 17:00:00,842.9495
2025-04-16 17:00:00,843.0246
2025-04-17 17:00:00,810.7549
2025-04-21 17:00:00,801.6653
2025-04-22 17:00:00,790.8499
2025-04-23 17:00:00,790.1106
2025-04-24 17:00:00,792.4777
2025-04-25 17:00:00,762.4972
2025-04-28 17:00:00,734.1581
2025-04-29 17:00:00,703.8968
2025-04-30 17:00:00,709.0649
2025-05-01 17:00:00,691.7924
2025-05-02 17:00:00,680.0394
